ref,count_1_aerobic_t30_7_Rif,count_1_aerobic_t60_1_control,count_1_aerobic_t180_6_Nor,count_1_aerobic_t30_1_control,count_1_aerobic_t180_5_Gent,count_1_aerobic_t0_1_control,count_1_aerobic_t180_1_control,freq_aerobic_t30_7_Rif,freq_aerobic_t60_1_control,freq_aerobic_t180_6_Nor,freq_aerobic_t30_1_control,freq_aerobic_t180_5_Gent,freq_aerobic_t0_1_control,freq_aerobic_t180_1_control
45,188,190,197,241,200,206,227,103.1919238,113.3822707,108.1428254,151.98038,112.0902192,111.5464672,102.0911138
46,191,255,221,227,167,196,264,104.8386034,152.1709423,121.3175858,143.1516443,93.59533301,106.1315902,118.7315157
47,53,61,32,71,43,63,65,29.09134022,36.40167639,17.56634727,44.77430283,24.09939712,34.11372541,29.23313833
48,33,20,15,43,25,32,35,18.11347599,11.93497586,8.234225283,27.11683129,14.0112774,17.32760656,15.74092064
49,91,86,55,73,79,75,107,49.94928227,51.32039622,30.19215937,46.0355508,44.27563657,40.61157787,48.12224309
50,73,78,76,70,73,84,97,40.06920446,46.54640587,41.72007477,44.14367885,40.91293,45.48496722,43.62483719
51,77,83,117,64,98,100,132,42.2647773,49.53014984,64.22695721,40.35993494,54.9242074,54.1487705,59.36575783
52,6,3,3,3,5,7,9,3.29335927,1.79024638,1.646845057,1.891871951,2.802255479,3.790413935,4.047665307
53,69,88,64,78,70,56,76,37.87363161,52.5138938,35.13269454,49.18867071,39.23157671,30.32331148,34.18028481
54,0,0,0,2,0,0,0,0,0,0,1.261247967,0,0,0
55,20,50,38,48,28,30,21,10.97786423,29.83743966,20.86003738,30.26995121,15.69263068,16.24463115,9.444552382
56,237,286,140,268,182,204,316,130.0876912,170.6701549,76.85276931,169.0072276,102.0020995,110.4634918,142.1180263
57,26,48,6,54,49,32,27,14.2712235,28.64394207,3.293690113,34.05369511,27.4621037,17.32760656,12.14299592
58,84,80,109,135,100,113,135,46.10702979,47.73990346,59.83537039,85.13423777,56.04510959,61.18811066,60.7149796
59,156,122,122,145,127,105,167,85.62734103,72.80335277,66.97169897,91.44047761,71.17728918,56.85620902,75.10667847
60,54,41,59,67,61,42,94,29.64023343,24.46670052,32.38795278,42.2518069,34.18751685,22.74248361,42.27561543
61,47,37,26,30,30,39,48,25.79798095,22.07970535,14.27265716,18.91871951,16.81353288,21.11802049,21.5875483
62,56,60,53,123,69,70,78,30.73801986,35.80492759,29.09426267,77.56674997,38.67112562,37.90413935,35.07976599
63,183,180,175,152,196,190,257,100.4474577,107.4147828,96.06596163,95.85484549,109.8484148,102.8826639,115.5833315
64,62,72,61,70,90,88,95,34.03137913,42.96591311,33.48584948,44.14367885,50.44059863,47.65091804,42.72535601
65,145,187,162,106,137,158,159,79.5895157,111.5920243,88.92963306,66.84614225,76.78180014,85.55505739,71.50875375
66,189,157,213,118,210,239,233,103.740817,93.68956054,116.925999,74.41363005,117.6947301,129.4155615,104.7895574
67,135,157,108,135,116,118,136,74.10058358,93.68956054,59.28642204,85.13423777,65.01232712,63.89554919,61.16472019
68,19,17,12,38,16,26,26,10.42897102,10.14472948,6.587380226,23.96371137,8.967217534,14.07868033,11.69325533
69,81,88,146,157,81,91,138,44.46035015,52.5138938,80.14645942,99.00796541,45.39653877,49.27538115,62.06420137
70,51,73,37,77,54,44,68,27.9935538,43.56266191,20.31108903,48.55804673,30.26435918,23.82545902,30.58236009
71,13,5,2,20,11,8,16,7.135611752,2.983743966,1.097896704,12.61247967,6.164962055,4.33190164,7.195849434
72,25,20,30,23,36,43,36,13.72233029,11.93497586,16.46845057,14.50435162,20.17623945,23.28397131,16.19066123
73,45,48,33,75,48,63,80,24.70019453,28.64394207,18.11529562,47.29679876,26.9016526,34.11372541,35.97924717
74,17,14,12,36,16,27,33,9.331184599,8.354483105,6.587380226,22.70246341,8.967217534,14.62016803,14.84143946
75,180,218,168,91,165,151,256,98.80077811,130.0912369,92.22332317,57.3867825,92.47443082,81.76464345,115.1335909
76,33,22,17,55,20,31,50,18.11347599,13.12847345,9.332121987,34.68431909,11.20902192,16.78611885,22.48702948
77,84,88,72,67,72,97,126,46.10702979,52.5138938,39.52428136,42.2518069,40.3524789,52.52430738,56.66731429
78,45,33,37,25,25,28,22,24.70019453,19.69271018,20.31108903,15.76559959,14.0112774,15.16165574,9.894292972
79,22,21,16,38,18,20,29,12.07565066,12.53172466,8.783173635,23.96371137,10.08811973,10.8297541,13.0424771
80,77,68,60,75,64,74,104,42.2647773,40.57891794,32.93690113,47.29679876,35.86887014,40.07009017,46.77302132
81,174,151,198,140,169,200,217,95.50741884,90.10906778,108.6917737,88.28735769,94.7162352,108.297541,97.59370795
82,34,13,27,45,30,31,24,18.6623692,7.757734312,14.82160551,28.37807926,16.81353288,16.78611885,10.79377415
83,27,37,15,23,19,37,39,14.82011672,22.07970535,8.234225283,14.50435162,10.64857082,20.03504508,17.539883
84,285,297,327,146,255,254,413,156.4345653,177.2343916,179.5061112,92.07110159,142.9150294,137.5378771,185.7428635
85,211,183,134,132,176,219,311,115.8164677,109.2050292,73.55907919,83.24236582,98.63939287,118.5858074,139.8693234
86,110,98,55,139,97,112,150,60.37825329,58.48138174,30.19215937,87.65673371,54.3637563,60.64662296,67.46108844
87,212,185,141,251,178,231,257,116.3653609,110.3985267,77.40171766,158.2866199,99.76029507,125.0836599,115.5833315
88,357,159,225,184,254,260,313,195.9548766,94.88305812,123.5133792,116.034813,142.3545784,140.7868033,140.7688046
89,69,58,28,62,56,46,57,37.87363161,34.61143001,15.37055386,39.09868698,31.38526137,24.90843443,25.63521361
90,31,46,29,43,37,41,56,17.01568956,27.45044449,15.91950221,27.11683129,20.73669055,22.2009959,25.18547302
91,4,15,37,7,10,13,12,2.195572847,8.951231898,20.31108903,4.414367885,5.604510959,7.039340165,5.396887076
92,44,65,46,55,39,63,61,24.15130132,38.78867156,25.2516242,34.68431909,21.85759274,34.11372541,27.43417597
93,89,83,63,71,94,100,89,48.85149584,49.53014984,34.58374619,44.77430283,52.68240301,54.1487705,40.02691248
