id_R1, id_R2, Description 
1,0,1_aerobic_t0_1_control
2,0,1_aerobic_t30_1_control
3,0,1_aerobic_t60_1_control
4,0,1_aerobic_t180_1_control
5,0,1_aerobic_t180_5_Gent
6,0,1_aerobic_t180_6_Nor
7,0,1_aerobic_t30_7_Rif
