no  subtraction,0.5% subtraction,1% subtraction,#ORF/Gene,number,,,,,,,,,,,,,,,,,,,,
12265,12198,12130,b0093,ftsQ,,,,,,,,,,,,,,,,,,,,
24947,24844,24740,b0094,ftsA,,,,,,,,,,,,,,,,,,,,
39946,39852,39757,b0095,ftsZ,,,,,,,,,,,,,,,,,,,,
146340,146265,146190,b0096,lpxC,,,,,,,,,,,,,,,,,,,,
33585,33543,33501,b0097,secM,,,,,,,,,,,,,,,,,,,,
141486,141265,141044,b0098,secA,,,,,,,,,,,,,,,,,,,,
1405,1373,1341,b0099,mutT,,,,,,,,,,,,,,,,,,,,
2730,2714,2697,b0101,yacG,,,,,,,,,,,,,,,,,,,,
7440,7379,7318,b0102,yacF,,,,,,,,,,,,,,,,,,,,
7165,7114,7063,b0103,coaE,,,,,,,,,,,,,,,,,,,,
15058,14973,14888,b0104,guaC,,,,,,,,,,,,,,,,,,,,
939,840,744,b0106,hofC,,,,,,,,,,,,,,,,,,,,
1971,1858,1745,b0107,hofB,,,,,,,,,,,,,,,,,,,,
100,64,29,b0108,ppdD,,,,,,,,,,,,,,,,,,,,
12926,12853,12779,b0109,nadC,,,,,,,,,,,,,,,,,,,,
7061,7016,6971,b0110,ampD,,,,,,,,,,,,,,,,,,,,
6116,6046,5977,b0111,ampE,,,,,,,,,,,,,,,,,,,,
7604,7492,7379,b0112,aroP,,,,,,,,,,,,,,,,,,,,
12306,12244,12181,b0113,pdhR,,,,,,,,,,,,,,,,,,,,
168188,167970,167752,b0114,aceE,,,,,,,,,,,,,,,,,,,,
122628,122474,122319,b0115,aceF,,,,,,,,,,,,,,,,,,,,
288811,288694,288578,b0116,lpd,,,,,,,,,,,,,,,,,,,,
304,175,89,b0117,yacH,,,,,,,,,,,,,,,,,,,,
177497,177284,177072,b0118,acnB,,,,,,,,,,,,,,,,,,,,
10858,10828,10799,b0119,yacL,,,,,,,,,,,,,,,,,,,,
27823,27758,27693,b0120,speD,,,,,,,,,,,,,,,,,,,,
23875,23804,23734,b0121,speE,,,,,,,,,,,,,,,,,,,,
17521,17492,17464,b0122,yacC,,,,,,,,,,,,,,,,,,,,
2711,2585,2458,b0123,cueO,,,,,,,,,,,,,,,,,,,,
7121,6926,6730,b0124,gcd,,,,,,,,,,,,,,,,,,,,
33108,33064,33020,b0125,hpt,,,,,,,,,,,,,,,,,,,,
101819,101765,101711,b0126,can,,,,,,,,,,,,,,,,,,,,
17816,17741,17665,b0127,yadG,,,,,,,,,,,,,,,,,,,,
10165,10102,10039,b0128,yadH,,,,,,,,,,,,,,,,,,,,
5535,5499,5463,b0129,yadI,,,,,,,,,,,,,,,,,,,,
5494,5394,5293,b0130,yadE,,,,,,,,,,,,,,,,,,,,
51847,51815,51784,b0131,panD,,,,,,,,,,,,,,,,,,,,
1957,1883,1809,b0132,yadD,,,,,,,,,,,,,,,,,,,,
19390,19320,19250,b0133,panC,,,,,,,,,,,,,,,,,,,,
15578,15514,15448,b0134,panB,,,,,,,,,,,,,,,,,,,,
986,884,783,b0135,yadC,,,,,,,,,,,,,,,,,,,,
298,256,217,b0136,yadK,,,,,,,,,,,,,,,,,,,,
318,268,218,b0137,yadL,,,,,,,,,,,,,,,,,,,,
284,237,191,b0138,yadM,,,,,,,,,,,,,,,,,,,,
519,324,184,b0139,htrE,,,,,,,,,,,,,,,,,,,,
97,41,11,b0140,ecpD,,,,,,,,,,,,,,,,,,,,
129,82,42,b0141,yadN,,,,,,,,,,,,,,,,,,,,
1207,1168,1129,b0142,folK,,,,,,,,,,,,,,,,,,,,
15710,15596,15482,b0143,pcnB,,,,,,,,,,,,,,,,,,,,
3717,3641,3566,b0144,gluQ,,,,,,,,,,,,,,,,,,,,
143599,143561,143524,b0145,dksA,,,,,,,,,,,,,,,,,,,,
16858,16800,16742,b0146,sfsA,,,,,,,,,,,,,,,,,,,,
2614,2571,2527,b0147,ligT,,,,,,,,,,,,,,,,,,,,
5743,5544,5345,b0148,hrpB,,,,,,,,,,,,,,,,,,,,
16851,16644,16437,b0149,mrcB,,,,,,,,,,,,,,,,,,,,
74231,74048,73864,b0150,fhuA,,,,,,,,,,,,,,,,,,,,
3947,3882,3816,b0151,fhuC,,,,,,,,,,,,,,,,,,,,
2790,2717,2644,b0152,fhuD,,,,,,,,,,,,,,,,,,,,
1888,1725,1563,b0153,fhuB,,,,,,,,,,,,,,,,,,,,
14953,14849,14744,b0154,hemL,,,,,,,,,,,,,,,,,,,,
9808,9692,9575,b0155,clcA,,,,,,,,,,,,,,,,,,,,
23241,23213,23185,b0156,erpA,,,,,,,,,,,,,,,,,,,,
1676,1625,1574,b0157,yadS,,,,,,,,,,,,,,,,,,,,
3014,2948,2883,b0158,btuF,,,,,,,,,,,,,,,,,,,,
23841,23784,23727,b0159,mtn,,,,,,,,,,,,,,,,,,,,
17332,17207,17083,b0160,dgt,,,,,,,,,,,,,,,,,,,,
52840,52724,52607,b0161,degP,,,,,,,,,,,,,,,,,,,,
6451,6356,6261,b0162,cdaR,,,,,,,,,,,,,,,,,,,,
17900,17869,17837,b0163,yaeH,,,,,,,,,,,,,,,,,,,,
2812,2746,2679,b0164,yaeI,,,,,,,,,,,,,,,,,,,,
105359,105292,105225,b0166,dapD,,,,,,,,,,,,,,,,,,,,
7583,7364,7145,b0167,glnD,,,,,,,,,,,,,,,,,,,,
79264,79199,79135,b0168,map,,,,,,,,,,,,,,,,,,,,
558329,558269,558210,b0169,rpsB,,,,,,,,,,,,,,,,,,,,
386613,386543,386474,b0170,tsf,,,,,,,,,,,,,,,,,,,,
19885,19826,19766,b0171,pyrH,,,,,,,,,,,,,,,,,,,,
78317,78271,78226,b0172,frr,,,,,,,,,,,,,,,,,,,,
5491,5393,5296,b0173,dxr,,,,,,,,,,,,,,,,,,,,
23765,23702,23640,b0174,ispU,,,,,,,,,,,,,,,,,,,,
17826,17756,17686,b0175,cdsA,,,,,,,,,,,,,,,,,,,,
59131,59020,58910,b0176,rseP,,,,,,,,,,,,,,,,,,,,
177653,177454,177255,b0177,bamA,,,,,,,,,,,,,,OM,protein,complex,,,,
73833,73793,73753,b0178,skp,,,,,,,,,,,,,,,,,,,,
86582,86499,86414,b0179,lpxD,,,,,,,,,,,,,,,,,,,,
33380,33343,33306,b0180,fabZ,,,,,,,,,,,,,,,,,,,,
38003,37938,37874,b0181,lpxA,,,,,,,,,,,,,,,,,,,,
13991,13897,13803,b0182,lpxB,,,,,,,,,,,,,,,,,,,,
3075,3026,2977,b0183,rnhB,,,,,,,,,,,,,,,,,,,,
31265,30980,30695,b0184,dnaE,,,,,,,,,,,,,,,,,,,,
42658,42579,42501,b0185,accA,,,,,,,,,,,,,,,,,,,,
2045,1870,1696,b0186,ldcC,,,,,,,,,,,,,,,,,,,,
4794,4762,4731,b0187,yaeR,,,,,,,,,,,,,,,,,,,,
3305,3199,3093,b0188,tilS,,,,,,,,,,,,,,,,,,,,
10661,10640,10620,b0189,rof,,,,,,,,,,,,,,,,,,,,
15038,15022,15005,b4406,yaeP,,,,,,,,,,,,,,,,,,,,
7088,7043,6999,b0190,yaeQ,,,,,,,,,,,,,,,,,,,,
3027,2992,2958,b0191,yaeJ,,,,,,,,,,,,,,,,,,,,
5218,5159,5101,b0192,nlpE,,,,,,,,,,,,,,,,,,,,
1656,1589,1522,b0193,yaeF,,,,,,,,,,,,,,,,,,,,
42681,42541,42400,b0194,proS,,,,,,,,,,,,,,,,,,,,
5296,5238,5180,b0195,yaeB,,,,,,,,,,,,,,,,,,,,
10624,10591,10558,b0196,rcsF,,,,,,,,,,,,,,,,,,,,
26034,25967,25901,b0197,metQ,,,,,,,,,,,,,,,,,,,,
5582,5529,5475,b0198,metI,,,,,,,,,,,,,,,,,,,,
2584,2500,2415,b0199,metN,,,,,,,,,,,,,,,,,,,,
15049,15002,14955,b0200,gmhB,,,,,,,,,,,,,,,,,,,,
2842,2777,2711,b0207,dkgB,,,,,,,,,,,,,,,,,,,,
7144,7070,6995,b0208,yafC,,,,,,,,,,,,,,,,,,,,
22233,22167,22102,b0209,yafD,,,,,,,,,,,,,,,,,,,,
5773,5722,5671,b0210,yafE,,,,,,,,,,,,,,,,,,,,
29224,29113,29002,b0211,mltD,,,,,,,,,,,,,,,,,,,,
10248,10186,10124,b0212,gloB,,,,,,,,,,,,,,,,,,,,
5125,5066,5007,b0213,yafS,,,,,,,,,,,,,,,,,,,,
8089,8051,8013,b0214,rnhA,,,,,,,,,,,,,,,,,,,,
9721,9661,9602,b0215,dnaQ,,,,,,,,,,,,,,,,,,,,
1157,1093,1028,b0217,yafT,,,,,,,,,,,,,,,,,,,,
108,69,32,b4586,ykfM,,,,,,,,,,,,,,,,,,,,
4647,4584,4521,b0219,yafV,,,,,,,,,,,,,,,,,,,,
8769,8730,8692,b0220,ivy,,,,,,,,,,,,,,,,,,,,
13839,13639,13439,b0221,fadE,,,,,,,,,,,,,,,,,,,,
17553,17505,17458,b0222,lpcA,,,,,,,,,,,,,,,,,,,,
7358,7295,7233,b0223,yafJ,,,,,,,,,,,,,,,,,,,,
17633,17572,17512,b0224,yafK,,,,,,,,,,,,,,,,,,,,
5631,5608,5585,b0225,yafQ,,,,,,,,,,,,,,,,,,,,
9826,9805,9784,b0226,dinJ,,,,,,,,,,,,,,,,,,,,
407,346,284,b0227,yafL,,,,,,,,,,,,,,,,,,,,
3862,3821,3780,b0228,rayT,,,,,,,,,,,,,,,,,,,,
2253,2167,2081,b0231,dinB,,,,,,,,,,,,,,,,,,,,
2483,2459,2435,b0232,yafN,,,,,,,,,,,,,,,,,,,,
1628,1596,1563,b0233,yafO,,,,,,,,,,,,,,,,,,,,
1528,1491,1454,b0234,yafP,,,,,,,,,,,,,,,,,,,,
112444,112325,112206,b0237,pepD,,,,,,,,,,,,,,,,,,,,
4300,4263,4225,b0238,gpt,,,,,,,,,,,,,,,,,,,,
6147,6045,5943,b0239,frsA,,,,,,,,,,,,,,,,,,,,
2902,2870,2837,b0240,crl,,,,,,,,,,,,,,,,,,,,
407,324,252,b0241,phoE,,,,,,,,,,,,,,,,,,,,
12356,12266,12176,b0242,proB,,,,,,,,,,,,,,,,,,,,
14575,14473,14370,b0243,proA,,,,,,,,,,,,,,,,,,,,
72,55,44,b0245,ykfI,,,,,,,,,,,,,,,,,,,,
16,4,0,b0246,yafW,,,,,,,,,,,,,,,,,,,,
6,0,0,b4504,ykfH,,,,,,,,,,,,,,,,,,,,
13,0,0,b0247,ykfG,,,,,,,,,,,,,,,,,,,,
9,0,0,b0248,yafX,,,,,,,,,,,,,,,,,,,,
35,17,5,b0249,ykfF,,,,,,,,,,,,,,,,,,,,
10141,10103,10064,b0250,ykfB,,,,,,,,,,,,,,,,,,,,
3251,3215,3178,b0251,yafY,,,,,,,,,,,,,,,,,,,,
28,1,0,b0252,yafZ,,,,,,,,,,,,,,,,,,,,
1335,1264,1194,b0253,ykfA,,,,,,,,,,,,,,,,,,,,
760,687,614,b0254,perR,,,,,,,,,,,,,,,,,,,,
11607,11513,11419,b0256,insI,,,,,,,,,,,,,,,,,,,,
