no  subtraction,0.5% subtraction,1% subtraction,#ORF/Gene,number,,,,,,,,,,,,,,,,,,,,
5255,5190,5125,b1100,ycfH,,,,,,,,,,,,,,,,,,,,
384340,384223,384106,b1101,ptsG,,,,,,,,,,,,,,,,,,,,
2529,2350,2171,b1102,fhuE,,,,,,,,,,,,,,,,,,,,
19284,19255,19225,b1103,hinT,,,,,,,,,,,,,,,,,,,,
12540,12510,12479,b1104,ycfL,,,,,,,,,,,,,,,,,,,,
12015,11963,11911,b1105,lpoB,,,,,,,,,,,,,,,,,,,,
7235,7167,7100,b1106,thiK,,,,,,,,,,,,,,,,,,,,
14101,14017,13933,b1107,nagZ,,,,,,,,,,,,,,,,,,,,
15869,15824,15780,b1108,ycfP,,,,,,,,,,,,,,,,,,,,
7323,7216,7110,b1109,ndh,,,,,,,,,,,,,,,,,,,,
629,585,540,b1110,ycfJ,,,,,,,,,,,,,,,,,,,,
2692,2641,2589,b1111,ycfQ,,,,,,,,,,,,,,,,,,,,
880,859,838,b1112,bhsA,,,,,,,,,,,,,,,,,,,,
3276,3197,3118,b1113,ycfS,,,,,,,,,,,,,,,,,,,,
25631,25349,25067,b1114,mfd,,,,,,,,,,,,,,,,,,,,
195,126,72,b1115,ycfT,,,,,,,,,,,,,,,,,,,,
16138,16039,15941,b1116,lolC,,,,,,,,,,,,,,,,,,,,
6918,6860,6803,b1117,lolD,,,,,,,,,,,,,,,,,,,,
16468,16366,16264,b1118,lolE,,,,,,,,,,,,,,,,,,,,
10880,10806,10731,b1119,nagK,,,,,,,,,,,,,,,,,,,,
6995,6936,6876,b1120,cobB,,,,,,,,,,,,,,,,,,,,
368,304,241,b1121,ycfZ,,,,,,,,,,,,,,,,,,,,
375,337,299,b1122,ymfA,,,,,,,,,,,,,,,,,,,,
28195,28109,28023,b1123,potD,,,,,,,,,,,,,,,,,,,,
3588,3523,3458,b1124,potC,,,,,,,,,,,,,,,,,,,,
2257,2190,2122,b1125,potB,,,,,,,,,,,,,,,,,,,,
6957,6864,6771,b1126,potA,,,,,,,,,,,,,,,,,,,,
9310,9210,9110,b1127,pepT,,,,,,,,,,,,,,,,,,,,
13537,13445,13353,b1128,ycfD,,,,,,,,,,,,,,,,,,,,
16790,16671,16551,b1129,phoQ,,,,,,,,,,,,,,,,,,,,
27037,26982,26927,b1130,phoP,,,,,,,,,,,,,,,,,,,,
11242,11130,11018,b1131,purB,,,,,,,,,,,,,,,,,,,,
3906,3853,3801,b1132,hflD,,,,,,,,,,,,,,,,,,,,
9902,9811,9721,b1133,mnmA,,,,,,,,,,,,,,,,,,,,
1654,1616,1579,b1134,nudJ,,,,,,,,,,,,,,,,,,,,
3253,3199,3147,b1135,rluE,,,,,,,,,,,,,,,,,,,,
350762,350660,350558,b1136,icd,,,,,,,,,,,,,,,,,,,,
7878,7824,7769,b1137,ymfD,,,,,,,,,,,,,,,,,,,,
9266,9208,9151,b1138,ymfE,,,,,,,,,,,,,,,,,,,,
3575,3502,3429,b1139,lit,,,,,,,,,,,,,,,,,,,,
1014,922,830,b1140,intE,,,,,,,,,,,,,,,,,,,,
226,206,186,b1141,xisE,,,,,,,,,,,,,,,,,,,,
5700,5672,5644,b1143,ymfI,,,,,,,,,,,,,,,,,,,,
308,283,257,b1144,ymfJ,,,,,,,,,,,,,,,,,,,,
10980,10924,10869,b1145,cohE,,,,,,,,,,,,,,,,,,,,
61,45,31,b1146,croE,,,,,,,,,,,,,,,,,,,,
121,82,48,b1147,ymfL,,,,,,,,,,,,,,,,,,,,
54,27,8,b1148,ymfM,,,,,,,,,,,,,,,,,,,,
6,0,0,b1150,ymfR,,,,,,,,,,,,,,,,,,,,
36,5,0,b1153,ymfQ,,,,,,,,,,,,,,,,,,,,
66,21,1,b1154,stfP,,,,,,,,,,,,,,,,,,,,
79,46,20,b1155,tfaP,,,,,,,,,,,,,,,,,,,,
137,88,46,b1156,tfaE,,,,,,,,,,,,,,,,,,,,
74,31,8,b1158,pinE,,,,,,,,,,,,,,,,,,,,
6893,6825,6757,b1159,mcrA,,,,,,,,,,,,,,,,,,,,
473,447,420,b1160,iraM,,,,,,,,,,,,,,,,,,,,
861,828,795,b1161,ycgX,,,,,,,,,,,,,,,,,,,,
16403,16344,16284,b1162,ycgE,,,,,,,,,,,,,,,,,,,,
24080,23981,23882,b1163,ycgF,,,,,,,,,,,,,,not,degrade,c-di-GMP,,,,
2317,2298,2278,b1164,ycgZ,,,,,,,,,,,,,,,,,,,,
1535,1513,1491,b1165,ymgA,,,,,,,,,,,,,,,,,,,,
1034,1013,991,b1166,ariR,,,,,,,,,,,,,,,,,,,,
897,876,856,b1167,ymgC,,,,,,,,,,,,,,,,,,,,
346,228,144,b1168,ycgG,,,,,,,,,,,,,,,,,,,,
1013,995,977,b4520,ymgF,,,,,,,,,,,,,,,,,,,,
2381,2354,2327,b1171,ymgD,,,,,,,,,,,,,,,,,,,,
1634,1606,1578,b1172,ymgG,,,,,,,,,,,,,,,,,,,,
687,674,665,b4593,ymgI,,,,,,,,,,,,,,,,,,,,
33,18,5,b4594,ymgJ,,,,,,,,,,,,,,,,,,,,
40838,40816,40794,b1174,minE,,,,,,,,,,,,,,,,,,,,
97737,97671,97604,b1175,minD,,,,,,,,,,,,,,,,,,,,
44523,44466,44409,b1176,minC,,,,,,,,,,,,,,,,,,,,
4614,4584,4554,b1177,ycgJ,,,,,,,,,,,,,,,,,,,,
3267,3234,3201,b1178,pliG,,,,,,,,,,,,,,,,,,,,
9707,9683,9659,b1179,ycgL,,,,,,,,,,,,,,,,,,,,
9716,9662,9608,b1180,ycgM,,,,,,,,,,,,,,,,,,,,
4481,4444,4406,b1181,ycgN,,,,,,,,,,,,,,,,,,,,
196,123,57,b1182,hlyE,,,,,,,,,,,,,,,,,,,,
713,679,644,b1183,umuD,,,,,,,,,,,,,,,,,,,,
1083,979,875,b1184,umuC,,,,,,,,,,,,,,,,,,,,
11806,11762,11719,b1185,dsbB,,,,,,,,,,,,,,,,,,,,
22358,22232,22106,b1186,nhaB,,,,,,,,,,,,,,,,,,,,
33404,33345,33287,b1187,fadR,,,,,,,,,,,,,,,,,,,,
1555,1430,1304,b1188,ycgB,,,,,,,,,,,,,,,,,,,,
50021,49915,49809,b1189,dadA,,,,,,,,,,,,,,,,,,,,
30693,30605,30517,b1190,dadX,,,,,,,,,,,,,,,,,,,,
11498,11356,11214,b1191,cvrA,,,,,,,,,,,,,,,,,,,,
3976,3901,3826,b1192,ldcA,,,,,,,,,,,,,,,,,,,,
2951,2901,2851,b1193,emtA,,,,,,,,,,,,,,,,,,,,
9552,9492,9431,b1194,ycgR,,,,,,,,,,,,,,,,,,,,
60,39,21,b1195,ymgE,,,,,,,,,,,,,,,,,,,,
190,153,118,b1196,ycgY,,,,,,,,,,,,,,,,,,,,
2306,2168,2029,b1197,treA,,,,,,,,,,,,,,,,,,,,
73100,72984,72868,b1198,dhaM,,,,,,,,,,,,,,,,,,,,
26000,25948,25896,b1199,dhaL,,,,,,,,,,,,,,,,,,,,
48089,48001,47914,b1200,dhaK,,,,,,,,,,,,,,,,,,,,
7000,6843,6686,b1201,dhaR,,,,,,,,,,,,,,,,,,,,
2209,1975,1743,b1202,ycgV,,,,,,,,,,,,,,,,,,,,
38713,38624,38535,b1203,ychF,,,,,,,,,,,,,,,,,,,,
4608,4560,4512,b1204,pth,,,,,,,,,,,,,,,,,,,,
21260,21237,21214,b1205,ychH,,,,,,,,,,,,,,,,,,,,
2604,2467,2329,b1206,ychM,,,,,,,,,,,,,,,,,,,,
36021,35943,35866,b1207,prs,,,,,,,,,,,,,,,,,,,,
14333,14263,14194,b1208,ispE,,,,,,,,,,,,,,,,,,,,
7018,6967,6916,b1209,lolB,,,,,,,,,,,,,,,,,,,,
14979,14877,14774,b1210,hemA,,,,,,,,,,,,,,,,,,,,
11153,11064,10976,b1211,prfA,,,,,,,,,,,,,,,,,,,,
4742,4673,4605,b1212,prmC,,,,,,,,,,,,,,,,,,,,
6609,6576,6544,b1213,ychQ,,,,,,,,,,,,,,,,,,,,
18384,18318,18252,b1214,ychA,,,,,,,,,,,,,,,,,,,,
26212,26142,26073,b1215,kdsA,,,,,,,,,,,,,,,,,,,,
92,84,75,b4419,ldrA,,,,,,,,,,,,,,,,,,,,
39,30,21,b4421,ldrB,,,,,,,,,,,,,,,,,,,,
101,92,83,b4423,ldrC,,,,,,,,,,,,,,,,,,,,
22294,22204,22114,b1216,chaA,,,,,,,,,,,,,,,,,,,,
491,472,453,b1217,chaB,,,,,,,,,,,,,,,,,,,,
1954,1897,1840,b1218,chaC,,,,,,,,,,,,,,,,,,,,
17613,17584,17555,b1219,ychN,,,,,,,,,,,,,,,,,,,,
5136,5022,4908,b1220,ychO,,,,,,,,,,,,,,,,,,,,
4513,4460,4407,b1221,narL,,,,,,,,,,,,,,,,,,,,
6358,6211,6064,b1222,narX,,,,,,,,,,,,,,,,,,,,
3564,3450,3336,b1223,narK,,,,,,,,,,,,,,,,,,,,
7047,6741,6434,b1224,narG,,,,,,,,,,,,,,,,,,,,
1546,1420,1294,b1225,narH,,,,,,,,,,,,,,,,,,,,
416,358,301,b1226,narJ,,,,,,,,,,,,,,,,,,,,
738,682,627,b1227,narI,,,,,,,,,,,,,,,,,,,,
1796,1789,1782,b1229,tpr,,,,,,,,,,,,,,,,,,,,
30288,30219,30150,b1232,purU,,,,,,,,,,,,,,,,,,,,
16990,16953,16915,b1233,ychJ,,,,,,,,,,,,,,,,,,,,
8213,8139,8065,b1234,rssA,,,,,,,,,,,,,,,,,,,,
6797,6715,6632,b1235,rssB,,,,,,,,,,,,,,interaction,during,stationary,phase,,,
56147,56073,55998,b1236,galU,,,,,,,,,,,,,,,,,,,,
394142,394108,394075,b1237,hns,,,,,,,,,,,,,,,,,,,,
6769,6718,6667,b1238,tdk,,,,,,,,,,,,,,,,,,,,
157076,156857,156638,b1241,adhE,,,,,,,,,,,,,,,,,,,,
2314,2261,2208,b1242,ychE,,,,,,,,,,,,,,,,,,,,
109090,108957,108823,b1243,oppA,,,,,,,,,,,,,,,,,,,,
23639,23564,23488,b1244,oppB,,,,,,,,,,,,,,,,,,,,
16695,16621,16547,b1245,oppC,,,,,,,,,,,,,,,,,,,,
18591,18508,18425,b1246,oppD,,,,,,,,,,,,,,,,,,,,
16522,16440,16358,b1247,oppF,,,,,,,,,,,,,,,,,,,,
10388,10361,10334,b1248,yciU,,,,,,,,,,,,,,,,,,,,
27133,27014,26894,b1249,cls,,,,,,,,,,,,,,,,,,,,
9267,9253,9239,b4595,yciY,,,,,,,,,,,,,,,,,,,,
6310,6208,6105,b1250,kch,,,,,,,,,,,,,,,,,,,,
19783,19758,19734,b1251,yciI,,,,,,,,,,,,,,,,,,,,
9115,9056,8997,b1252,tonB,,,,,,,,,,,,,,,,,,,,
3480,3448,3415,b1253,yciA,,,,,,,,,,,,,,,,,,,,
6989,6945,6901,b1254,yciB,,,,,,,,,,,,,,,,,,,,
9679,9618,9557,b1255,yciC,,,,,,,,,,,,,,,,,,,,
1584,1532,1480,b1256,ompW,,,,,,,,,,,,,,,,,,,,
713,671,630,b1257,yciE,,,,,,,,,,,,,,,,,,,,
236,198,175,b1258,yciF,,,,,,,,,,,,,,,,,,,,
10,3,0,b1259,yciG,,,,,,,,,,,,,,,,,,,,
4377,4311,4245,b1260,trpA,,,,,,,,,,,,,,,,,,,,
6067,5969,5872,b1261,trpB,,,,,,,,,,,,,,,,,,,,
6573,6462,6351,b1262,trpC,,,,,,,,,,,,,,,,,,,,
3832,3708,3599,b1263,trpD,,,,,,,,,,,,,,,,,,,,
363,250,175,b1264,trpE,,,,,,,,,,,,,,,,,,,,
116,113,109,b1265,trpL,,,,,,,,,,,,,,,,,,,,
6914,6842,6770,b1266,yciV,,,,,,,,,,,,,,,,,,,,
7926,7875,7824,b1267,yciO,,,,,,,,,,,,,,,,,,,,
3335,3182,3032,b1268,yciQ,,,,,,,,,,,,,,,,,,,,
5393,5321,5250,b1269,rluB,,,,,,,,,,,,,,,,,,,,
4608,4559,4511,b1270,btuR,,,,,,,,,,,,,,,,,,,,
8193,8131,8069,b1271,yciK,,,,,,,,,,,,,,,,,,,,
15927,15841,15755,b1272,sohB,,,,,,,,,,,,,,,,,,,,
32672,32651,32631,b1273,yciN,,,,,,,,,,,,,,,,,,,,
106126,105913,105701,b1274,topA,,,,,,,,,,,,,,,,,,,,
28917,28837,28757,b1275,cysB,,,,,,,,,,,,,,,,,,,,
1160,1150,1139,b4522,ymiA,,,,,,,,,,,,,,,,,,,,
910,896,883,b4523,yciX,,,,,,,,,,,,,,,,,,,,
22700,22481,22262,b1276,acnA,,,,,,,,,,,,,,,,,,,,
19413,19364,19316,b1277,ribA,,,,,,,,,,,,,,,,,,,,
5789,5726,5663,b1278,pgpB,,,,,,,,,,,,,,,,,,,,
14840,14815,14789,b1279,yciS,,,,,,,,,,,,,,,,,,,,
18683,18587,18492,b1280,yciM,,,,,,,,,,,,,,,,,,,,
4507,4446,4386,b1281,pyrF,,,,,,,,,,,,,,,,,,,,
1166,1139,1112,b1282,yciH,,,,,,,,,,,,,,,,,,,,
1056,1038,1020,b1283,osmB,,,,,,,,,,,,,,,,,,,,
30780,30719,30658,b1284,yciT,,,,,,,,,,,,,,,,,,,,
7353,7339,7325,b4596,yciZ,,,,,,,,,,,,,,,,,,,,
3099,2937,2774,b1285,gmr,,,,,,,,,,,,,,,,,,,,
17,8,1,b4672,ymiB,,,,,,,,,,,,,,,,,,,,
22003,21844,21686,b1286,rnb,,,,,,,,,,,,,,,,,,,,
1333,1241,1149,b1287,yciW,,,,,,,,,,,,,,,,,,,,
124157,124092,124027,b1288,fabI,,,,,,,,,,,,,,,,,,,,
619,590,561,b1289,ycjD,,,,,,,,,,,,,,,,,,,,
3071,3005,2940,b1290,sapF,,,,,,,,,,,,,,,,,,,,
5537,5456,5375,b1291,sapD,,,,,,,,,,,,,,,,,,,,
1855,1782,1709,b1292,sapC,,,,,,,,,,,,,,,,,,,,
3338,3259,3180,b1293,sapB,,,,,,,,,,,,,,,,,,,,
5739,5604,5470,b1294,sapA,,,,,,,,,,,,,,,,,,,,
3047,3027,3007,b1295,ymjA,,,,,,,,,,,,,,,,,,,,
2740,2627,2514,b1296,puuP,,,,,,,,,,,,,,,,,,,,
10593,10476,10361,b1297,puuA,,,,,,,,,,,,,,,,,,,,
8051,7988,7926,b1298,puuD,,,,,,,,,,,,,,,,,,,,
5241,5196,5150,b1299,puuR,,,,,,,,,,,,,,,,,,,,
253,137,69,b1300,puuC,,,,,,,,,,,,,,,,,,,,
92,22,2,b1301,puuB,,,,,,,,,,,,,,,,,,,,
94,33,10,b1302,puuE,,,,,,,,,,,,,,,,,,,,
3395,3315,3235,b1303,pspF,,,,,,,,,,,,,,,,,,,,
6222,6168,6113,b1304,pspA,,,,,,,,,,,,,,,,,,,,
876,857,839,b1305,pspB,,,,,,,,,,,,,,,,,,,,
1113,1083,1054,b1306,pspC,,,,,,,,,,,,,,,,,,,,
319,301,283,b1307,pspD,,,,,,,,,,,,,,,,,,,,
27073,27047,27022,b1308,pspE,,,,,,,,,,,,,,,,,,,,
10474,10336,10199,b1309,ycjM,,,,,,,,,,,,,,,,,,,,
4741,4635,4529,b1310,ycjN,,,,,,,,,,,,,,,,,,,,
1017,945,873,b1311,ycjO,,,,,,,,,,,,,,,,,,,,
896,827,758,b1312,ycjP,,,,,,,,,,,,,,,,,,,,
624,538,452,b1313,ycjQ,,,,,,,,,,,,,,,,,,,,
544,480,415,b1314,ycjR,,,,,,,,,,,,,,,,,,,,
534,448,364,b1315,ycjS,,,,,,,,,,,,,,,,,,,,
715,532,369,b1316,ycjT,,,,,,,,,,,,,,,,,,,,
73,28,5,b1317,ycjU,,,,,,,,,,,,,,,,,,,,
56,12,4,b1319,ompG,,,,,,,,,,,,,,,,,,,,
2971,2889,2807,b1320,ycjW,,,,,,,,,,,,,,,,,,,,
7911,7797,7682,b1321,ycjX,,,,,,,,,,,,,,,,,,,,
3991,3905,3818,b1322,ycjF,,,,,,,,,,,,,,,,,,,,
22257,22131,22005,b1323,tyrR,,,,,,,,,,,,,,,,,,,,
195155,195114,195073,b1324,tpx,,,,,,,,,,,,,,,,,,,,
4450,4371,4292,b1325,ycjG,,,,,,,,,,,,,,,,,,,,
3545,3485,3425,b1326,mpaA,,,,,,,,,,,,,,,,,,,,
645,570,495,b1327,ycjY,,,,,,,,,,,,,,,,,,,,
4293,4220,4146,b1328,ycjZ,,,,,,,,,,,,,,,,,,,,
41004,40872,40740,b1329,mppA,,,,,,,,,,,,,,,,,,,,
3193,3109,3025,b1330,ynaI,,,,,,,,,,,,,,,,,,,,
33949,33866,33783,b1331,insH,,,,,,,,,,,,,,,,,,,,
35381,35360,35339,b1332,ynaJ,,,,,,,,,,,,,,,,,,,,
46431,46353,46275,b1333,uspE,,,,,,,,,,,,,,,,,,,,
79747,79686,79625,b1334,fnr,,,,,,,,,,,,,,,,,,,,
3530,3488,3446,b1335,ogt,,,,,,,,,,,,,,,,,,,,
666,548,439,b1336,abgT,,,,,,,,,,,,,,,,,,,,
240,127,56,b1337,abgB,,,,,,,,,,,,,,,,,,,,
179,106,64,b1338,abgA,,,,,,,,,,,,,,,,,,,,
4691,4617,4543,b1339,abgR,,,,,,,,,,,,,,,,,,,,
1805,1759,1713,b1340,smrA,,,,,,,,,,,,,,,,,,,,
1212,1111,1010,b1341,ydaM,,,,,,,,,,,,,,,,,,,,
4947,4867,4787,b1342,ydaN,,,,,,,,,,,,,,,,,,,,
1202,1090,977,b1343,dbpA,,,,,,,,,,,,,,,,,,,,
9498,9422,9345,b1344,ttcA,,,,,,,,,,,,,,,,,,,,
2631,2533,2454,b1345,intR,,,,,,,,,,,,,,,,,,,,
12,1,0,b1346,ydaQ,,,,,,,,,,,,,,,,,,,,
78,61,46,b1347,ydaC,,,,,,,,,,,,,,,,,,,,
44,28,12,b1348,ralR,,,,,,,,,,,,,,,,,,,,
569,503,436,b1349,recT,,,,,,,,,,,,,,,,,,,,
553,363,228,b1350,recE,,,,,,,,,,,,,,,,,,,,
44,22,7,b1351,racC,,,,,,,,,,,,,,,,,,,,
28,14,2,b4526,ydaE,,,,,,,,,,,,,,,,,,,,
38,20,7,b1352,kilR,,,,,,,,,,,,,,,,,,,,
90,54,28,b1353,sieB,,,,,,,,,,,,,,,,,,,,
85,72,60,b4527,ydaF,,,,,,,,,,,,,,,,,,,,
128,117,106,b1355,ydaG,,,,,,,,,,,,,,,,,,,,
21511,21472,21433,b1356,racR,,,,,,,,,,,,,,,,,,,,
128,103,79,b1357,ydaS,,,,,,,,,,,,,,,,,,,,
71,38,15,b1358,ydaT,,,,,,,,,,,,,,,,,,,,
243,173,106,b1359,ydaU,,,,,,,,,,,,,,,,,,,,
145,84,37,b1360,ydaV,,,,,,,,,,,,,,,,,,,,
54,38,24,b4528,rzoR,,,,,,,,,,,,,,,,,,,,
4511,4392,4273,b1363,trkG,,,,,,,,,,,,,,,,,,,,
133,111,90,b1365,ynaK,,,,,,,,,,,,,,,,,,,,
1540,1460,1379,b1370,insH,,,,,,,,,,,,,,,,,,,,
652,462,322,b1372,stfR,,,,,,,,,,,,,,,,,,,,
221,174,127,b1373,tfaR,,,,,,,,,,,,,,,,,,,,
1226,1178,1130,b1374,pinR,,,,,,,,,,,,,,,,,,,,
3097,3078,3059,b1375,ynaE,,,,,,,,,,,,,,,,,,,,
11884,11849,11813,b1376,uspF,,,,,,,,,,,,,,,,,,,,
361,285,244,b1377,ompN,,,,,,,,,,,,,,,,,,,,
16570,16281,15993,b1378,ydbK,,,,,,,,,,,,,,,,,,,,
4916,4894,4872,b4529,ydbJ,,,,,,,,,,,,,,,,,,,,
1205,1171,1136,b1379,hslJ,,,,,,,,,,,,,,,,,,,,
3166,3085,3004,b1380,ldhA,,,,,,,,,,,,,,,,,,,,
6289,6073,5857,b1381,ydbH,,,,,,,,,,,,,,,,,,,,
962,947,931,b1382,ynbE,,,,,,,,,,,,,,,,,,,,
1669,1642,1616,b1383,ydbL,,,,,,,,,,,,,,,,,,,,
19376,19302,19227,b1384,feaR,,,,,,,,,,,,,,,,,,,,
2946,2824,2701,b1385,feaB,,,,,,,,,,,,,,,,,,,,
659,485,342,b1386,tynA,,,,,,,,,,,,,,,,,,,,
266,126,53,b1387,paaZ,,,,,,,,,,,,,,,,,,,,
1905,1829,1753,b1388,paaA,,,,,,,,,,,,,,,,,,,,
629,606,582,b1389,paaB,,,,,,,,,,,,,,,,,,,,
926,865,804,b1390,paaC,,,,,,,,,,,,,,,,,,,,
531,491,450,b1391,paaD,,,,,,,,,,,,,,,,,,,,
674,586,499,b1392,paaE,,,,,,,,,,,,,,,,,,,,
400,337,275,b1393,paaF,,,,,,,,,,,,,,,,,,,,
276,212,151,b1394,paaG,,,,,,,,,,,,,,,,,,,,
389,272,167,b1395,paaH,,,,,,,,,,,,,,,,,,,,
106,72,41,b1396,paaI,,,,,,,,,,,,,,,,,,,,
5464,5365,5276,b1397,paaJ,,,,,,,,,,,,,,,,,,,,
3468,3361,3253,b1398,paaK,,,,,,,,,,,,,,,,,,,,
5134,5056,4979,b1399,paaX,,,,,,,,,,,,,,,,,,,,
4868,4819,4771,b1400,paaY,,,,,,,,,,,,,,,,,,,,
0,0,0,b4674,ynbG,,,,,,,,,,,,,,,,,,,,
1240,1166,1092,b1402,insD,,,,,,,,,,,,,,,,,,,,
1045,1015,986,b1403,insC,,,,,,,,,,,,,,,,,,,,
8980,8886,8792,b1404,insI,,,,,,,,,,,,,,,,,,,,
2836,2765,2695,b1406,ydbC,,,,,,,,,,,,,,,,,,,,
1521,1332,1144,b1407,ydbD,,,,,,,,,,,,,,,,,,,,
48,14,3,b1408,ynbA,,,,,,,,,,,,,,,,,,,,
23,0,0,b1409,ynbB,,,,,,,,,,,,,,,,,,,,
725,595,481,b1410,ynbC,,,,,,,,,,,,,,,,,,,,
748,649,560,b1411,ynbD,,,,,,,,,,,,,,,,,,,,
4136,4086,4037,b1412,azoR,,,,,,,,,,,,,,,,,,,,
13776,13457,13138,b1413,hrpA,,,,,,,,,,,,,,,,,,,,
4882,4817,4751,b1414,ydcF,,,,,,,,,,,,,,,,,,,,
400504,400387,400269,b1415,aldA,,,,,,,,,,,,,,,,,,,,
16440,16396,16353,b1418,cybB,,,,,,,,,,,,,,,,,,,,
4419,4405,4391,b1419,ydcA,,,,,,,,,,,,,,,,,,,,
2552,2540,2528,b4428,hokB,,,,,,,,,,,,,,,,,,,,
3058,3045,3031,b1420,mokB,,,,,,,,,,,,,,,,,,,,
32245,32111,31977,b1421,trg,,,,,,,,,,,,,,,,,,,,
74764,74689,74613,b1422,ydcI,,,,,,,,,,,,,,,,,,,,
1166,1056,946,b1423,ydcJ,,,,,,,,,,,,,,,,,,,,
11829,11693,11558,b1424,opgD,,,,,,,,,,,,,,,,,,,,
11696,11677,11659,b1426,ydcH,,,,,,,,,,,,,,,,,,,,
4665,4621,4577,b1427,rimL,,,,,,,,,,,,,,,,,,,,
926,846,766,b1428,ydcK,,,,,,,,,,,,,,,,,,,,
3321,3240,3159,b1429,tehA,,,,,,,,,,,,,,,,,,,,
7212,7164,7115,b1430,tehB,,,,,,,,,,,,,,,,,,,,
10020,9965,9911,b1431,ydcL,,,,,,,,,,,,,,,,,,,,
5442,5348,5254,b1432,insQ,,,,,,,,,,,,,,,,,,,,
1831,1735,1639,b1433,ydcO,,,,,,,,,,,,,,,,,,,,
1540,1496,1452,b1434,ydcN,,,,,,,,,,,,,,,,,,,,
4040,3880,3719,b1435,ydcP,,,,,,,,,,,,,,,,,,,,
539,520,501,b1436,yncJ,,,,,,,,,,,,,,,,,,,,
753,739,724,b4532,hicA,,,,,,,,,,,,,,,,,,,,
1559,1525,1491,b1438,hicB,,,,,,,,,,,,,,,,,,,,
4438,4323,4208,b1439,ydcR,,,,,,,,,,,,,,,,,,,,
329,235,150,b1440,ydcS,,,,,,,,,,,,,,,,,,,,
107,34,1,b1441,ydcT,,,,,,,,,,,,,,,,,,,,
266,197,140,b1442,ydcU,,,,,,,,,,,,,,,,,,,,
83,32,8,b1443,ydcV,,,,,,,,,,,,,,,,,,,,
470,363,290,b1444,prr,,,,,,,,,,,,,,,,,,,,
997,989,981,b4598,yncL,,,,,,,,,,,,,,,,,,,,
513,499,485,b1445,ydcX,,,,,,,,,,,,,,,,,,,,
17145,17126,17107,b1446,ydcY,,,,,,,,,,,,,,,,,,,,
2196,2159,2123,b1447,ydcZ,,,,,,,,,,,,,,,,,,,,
5352,5310,5267,b1448,yncA,,,,,,,,,,,,,,,,,,,,
2356,2271,2186,b1449,curA,,,,,,,,,,,,,,,,,,,,
778,723,669,b1450,mcbR,,,,,,,,,,,,,,,,,,,,
14723,14551,14379,b1451,yncD,,,,,,,,,,,,,,,,,,,,
26129,26043,25956,b1452,yncE,,,,,,,,,,,,,,,,,,,,
1201,1079,956,b1453,ansP,,,,,,,,,,,,,,,,,,,,
165,120,90,b1454,yncG,,,,,,,,,,,,,,,,,,,,
8,0,0,b1455,yncH,,,,,,,,,,,,,,,,,,,,
1034,994,955,b1457,ydcD,,,,,,,,,,,,,,,,,,,,
196,109,54,b1460,ydcC,,,,,,,,,,,,,,,,,,,,
2615,2596,2577,b1461,pptA,,,,,,,,,,,,,,,,,,,,
261,215,169,b1462,yddH,,,,,,,,,,,,,,,,,,,,
856,786,717,b1463,nhoA,,,,,,,,,,,,,,,,,,,,
4317,4244,4171,b1464,yddE,,,,,,,,,,,,,,,,,,,,
164,109,61,b1465,narV,,,,,,,,,,,,,,,,,,,,
36,9,1,b1466,narW,,,,,,,,,,,,,,,,,,,,
149,43,9,b1467,narY,,,,,,,,,,,,,,,,,,,,
538,286,177,b1468,narZ,,,,,,,,,,,,,,,,,,,,
193,95,50,b1469,narU,,,,,,,,,,,,,,,,,,,,
30,8,0,b1470,yddJ,,,,,,,,,,,,,,,,,,,,
1515,1443,1371,b1473,yddG,,,,,,,,,,,,,,,,,,,,
1372,1122,881,b1474,fdnG,,,,,,,,,,,,,,,,,,,,
447,375,303,b1475,fdnH,,,,,,,,,,,,,,,,,,,,
1027,974,921,b1476,fdnI,,,,,,,,,,,,,,,,,,,,
5460,5437,5413,b1477,yddM,,,,,,,,,,,,,,,,,,,,
2228,2145,2063,b1478,adhP,,,,,,,,,,,,,,,,,,,,
53941,53802,53663,b1479,maeA,,,,,,,,,,,,,,,,,,,,
4845,4834,4823,b1480,sra,,,,,,,,,,,,,,,,,,,,
50,32,17,b1481,bdm,,,,,,,,,,,,,,,,,,,,
4373,4338,4302,b1482,osmC,,,,,,,,,,,,,,,,,,,,
220,145,79,b1483,ddpF,,,,,,,,,,,,,,,,,,,,
215,136,66,b1484,ddpD,,,,,,,,,,,,,,,,,,,,
352,279,211,b1485,ddpC,,,,,,,,,,,,,,,,,,,,
319,236,165,b1486,ddpB,,,,,,,,,,,,,,,,,,,,
628,501,375,b1487,ddpA,,,,,,,,,,,,,,,,,,,,
233,186,138,b1488,ddpX,,,,,,,,,,,,,,,,,,,,
1108,912,718,b1489,dosP,,,,,,,,,,,,,,,,,,,,
1397,1284,1171,b1490,dosC,,,,,,,,,,,,,,pgaABCD,,,,,,
1497,1389,1281,b1491,yddW,,,,,,,,,,,,,,,,,,,,
551,428,325,b1492,gadC,,,,,,,,,,,,,,,,,,,,
345,232,131,b1493,gadB,,,,,,,,,,,,,,,,,,,,
2808,2579,2351,b1494,pqqL,,,,,,,,,,,,,,,,,,,,
1549,1355,1161,b1495,yddB,,,,,,,,,,,,,,,,,,,,
1127,990,853,b1496,yddA,,,,,,,,,,,,,,,,,,,,
1541,1446,1352,b1497,ydeM,,,,,,,,,,,,,,,,,,,,
