avg_lr,normalized_lr,distance_ATG,operon_pos,geneName
-20.983980178833008,0.8813531758416367,29,1,alr
-22.405235290527344,0.9410476520895945,32,1,alr
-21.433609008789062,0.9002381439865965,50,1,alr
-23.808821201324463,1.0,73,1,alr
-16.98429250717163,0.6899323681686006,8,1,dfp
-24.617329597473145,1.0,64,1,dfp
-23.245424270629883,0.944270749537997,65,1,dfp
-22.328004360198975,0.9070035103438207,100,1,dfp
-7.593851566314697,0.45800949572155303,89,1,ackA
-16.58011817932129,1.0,103,1,ackA
-5.40559709072113,0.32602886374253875,116,1,ackA
-9.799609661102295,0.5910458270028714,120,1,ackA
-22.619895458221436,0.8855274452348533,91,1,adk
-25.54398012161255,1.0,245,1,adk
-24.893320083618164,0.9745278521633414,260,1,adk
-22.613215923309326,0.8852659536865389,261,1,adk
-14.390868186950684,0.6654127676991651,85,1,alaS
-18.338924884796143,0.8479651544084505,84,1,alaS
-18.463276863098145,0.8537150086198756,75,1,alaS
-21.6269793510437,1.0,25,1,alaS
-15.47889232635498,0.912849370640029,61,3,araD
-9.685659170150757,0.5712002959444309,50,3,araD
-16.956677436828613,1.0,40,3,araD
-16.574785232543945,0.9774783588525883,36,3,araD
-17.43906545639038,0.7669949676060533,0,1,argS
-20.116729259490967,0.8847624401265751,35,1,argS
-22.736870765686035,1.0,43,1,argS
-20.393896102905273,0.8969526331514042,63,1,argS
-22.142834186553955,0.9708056223696963,37,1,asnS
-20.99830198287964,0.9206260342939783,31,1,asnS
-22.249489784240723,0.9754817109416998,21,1,asnS
-22.808720588684082,1.0,14,1,asnS
-1.183472029864788,0.05083044764816883,180,1,aspS
-17.519204139709473,0.7524546135347414,121,1,aspS
-17.04264259338379,0.7319861646653536,37,1,aspS
-23.28273868560791,1.0,36,1,aspS
-18.5551700592041,0.8644225999579263,16,2,birA
-21.465392112731934,1.0,21,2,birA
-0.0753674223087728,0.0035111132334763894,37,2,birA
0.009080085903406143,-0.00042301048383925873,38,2,birA
-22.412944316864014,0.9165405603267082,17,1,cdsA
-24.321640968322754,0.9945935761951061,42,1,cdsA
-24.453848838806152,1.0,75,1,cdsA
-16.37631607055664,0.669682559113919,88,1,cdsA
-1.5051296055316925,0.05894975837491927,89,4,lnt
-22.841784954071045,0.894619107182263,66,4,lnt
-25.532413482666016,1.0,28,4,lnt
-12.999003410339355,0.5091176914851545,12,4,lnt
0.9200830161571503,-0.04373878367871537,121,1,cysE
-3.1317031383514404,0.14887448600715397,94,1,cysE
-13.483741283416748,0.6409882943371249,74,1,cysE
-21.03586196899414,1.0,51,1,cysE
-17.563899517059326,0.9428643050506724,32,1,cysS
-18.628236770629883,1.0,51,1,cysS
-13.601183891296387,0.7301380188993853,61,1,cysS
-15.950966835021973,0.8562789399462103,94,1,cysS
0.44219863042235374,-0.022939588761243853,132,1,dapA
-18.441722869873047,0.9566866778389913,99,1,dapA
-18.163043975830078,0.9422298731680269,35,1,dapA
-19.27665901184082,1.0,-1,1,dapA
-19.2313494682312,0.7547713090110619,20,1,dapB
-25.479703903198242,1.0,28,1,dapB
-7.510721206665039,0.2947727036075284,40,1,dapB
-3.3655183911323547,0.132086244169812,56,1,dapB
-15.888919830322266,0.6647219028427209,59,3,dapD
