Cutoff,Recall,Specificity,Precision
-1.0,0.4735099337748344,0.8675588371019843,0.32574031890660593
-1.05,0.46688741721854304,0.870327641901246,0.3294392523364486
-1.1000000000000001,0.46688741721854304,0.8730964467005076,0.3373205741626794
-1.1500000000000001,0.46688741721854304,0.8760959852330411,0.3464373464373464
-1.2000000000000002,0.46688741721854304,0.8786340562990309,0.35516372795969775
-1.2500000000000002,0.46357615894039733,0.8797877249653899,0.35714285714285715
-1.3000000000000003,0.45695364238410596,0.8825565297646516,0.3612565445026178
-1.3500000000000003,0.45364238410596025,0.884402399630826,0.3663101604278075
-1.4000000000000004,0.45364238410596025,0.8871712044300877,0.37637362637362637
-1.4500000000000004,0.44370860927152317,0.8883248730964467,0.3753501400560224
-1.5000000000000004,0.4337748344370861,0.890401476695893,0.3753581661891118
-1.5500000000000005,0.4205298013245033,0.8906322104291647,0.3691860465116279
-1.6000000000000005,0.4205298013245033,0.8917858790955238,0.3735294117647059
-1.6500000000000006,0.41721854304635764,0.8934010152284264,0.3772455089820359
-1.7000000000000006,0.4105960264900662,0.8945546838947854,0.37920489296636084
-1.7500000000000007,0.40066225165562913,0.8961698200276881,0.3793103448275862
-1.8000000000000007,0.39072847682119205,0.8973234886940471,0.37942122186495175
-1.8500000000000008,0.3841059602649007,0.8980156898938625,0.3778501628664495
-1.9000000000000008,0.38079470198675497,0.8998615597600369,0.38333333333333336
-1.9500000000000008,0.38079470198675497,0.9012459621596678,0.3872053872053872
-2.0000000000000009,0.38079470198675497,0.9021688970927549,0.3924914675767918
-2.0500000000000007,0.37748344370860926,0.9035532994923858,0.3944636678200692
-2.100000000000001,0.37748344370860926,0.9042455006922012,0.3958333333333333
-2.1500000000000012,0.3741721854304636,0.9047069681587449,0.39649122807017545
-2.2000000000000011,0.3675496688741722,0.9053991693585602,0.3964285714285714
-2.2500000000000009,0.36423841059602646,0.905629903091832,0.3942652329749104
-2.3000000000000012,0.3576158940397351,0.9072450392247347,0.3956043956043956
-2.3500000000000014,0.347682119205298,0.9090909090909091,0.3977272727272727
-2.4000000000000012,0.3443708609271523,0.9095523765574527,0.39846743295019155
-2.4500000000000011,0.3443708609271523,0.9113982464236271,0.40625
-2.5000000000000013,0.34105960264900664,0.9125519150899861,0.4087301587301587
-2.5500000000000016,0.33774834437086093,0.9137055837563451,0.4112903225806452
-2.6000000000000014,0.32781456953642385,0.9148592524227042,0.4107883817427386
-2.6500000000000012,0.32450331125827814,0.9157821873557914,0.41350210970464135
-2.7000000000000015,0.3211920529801324,0.9169358560221504,0.41630901287553645
-2.7500000000000018,0.31125827814569534,0.9171665897554222,0.4104803493449782
-2.8000000000000016,0.31125827814569534,0.9183202584217812,0.4177777777777778
-2.8500000000000014,0.304635761589404,0.9194739270881402,0.4200913242009132
-2.9000000000000017,0.30132450331125826,0.9201661282879557,0.4155251141552511
-2.950000000000002,0.30132450331125826,0.9206275957544993,0.41935483870967744
-3.0000000000000018,0.2980132450331126,0.9213197969543148,0.4225352112676056
-3.0500000000000016,0.2980132450331126,0.9222427318874019,0.42857142857142855
-3.1000000000000019,0.2947019867549669,0.9227041993539455,0.42995169082125606
-3.1500000000000021,0.2947019867549669,0.9233964005537609,0.4362745098039216
-3.200000000000002,0.2913907284768212,0.9243193354868482,0.44221105527638194
-3.2500000000000018,0.28807947019867547,0.9252422704199353,0.4461538461538462
-3.300000000000002,0.2814569536423841,0.925703737886479,0.44502617801047123
-3.3500000000000023,0.2814569536423841,0.9263959390862944,0.4497354497354497
-3.4000000000000021,0.271523178807947,0.926857406552838,0.44565217391304346
-3.450000000000002,0.26490066225165565,0.9273188740193816,0.4444444444444444
-3.5000000000000022,0.26490066225165565,0.9287032764190125,0.45977011494252873
-3.5500000000000025,0.26490066225165565,0.929164743885556,0.46511627906976744
-3.6000000000000023,0.26158940397350994,0.9296262113520997,0.46745562130177515
-3.6500000000000021,0.2582781456953642,0.930318412551915,0.46987951807228917
-3.7000000000000024,0.2582781456953642,0.9307798800184587,0.47560975609756095
-3.7500000000000027,0.2582781456953642,0.9312413474850023,0.4785276073619632
-3.8000000000000025,0.2582781456953642,0.9319335486848177,0.484472049689441
-3.8500000000000023,0.25496688741721857,0.9321642824180896,0.48125
-3.9000000000000026,0.25165562913907286,0.9323950161513613,0.4810126582278481
-3.9500000000000028,0.24172185430463577,0.932856483617905,0.477124183006536
-4.0000000000000027,0.23841059602649006,0.9330872173511767,0.4768211920529801
-4.0500000000000025,0.23509933774834438,0.9335486848177204,0.4797297297297297
-4.1000000000000032,0.23841059602649006,0.9337794185509921,0.4864864864864865
-4.150000000000003,0.23509933774834438,0.934010152284264,0.4863013698630137
-4.2000000000000028,0.23841059602649006,0.9342408860175357,0.4931506849315068
-4.2500000000000027,0.23509933774834438,0.9342408860175357,0.4896551724137931
-4.3000000000000025,0.23178807947019867,0.9342408860175357,0.4861111111111111
-4.3500000000000032,0.22847682119205298,0.9344716197508076,0.4825174825174825
-4.400000000000003,0.22847682119205298,0.9347023534840794,0.4859154929577465
-4.4500000000000028,0.22847682119205298,0.935163820950623,0.48936170212765956
-4.5000000000000036,0.22185430463576158,0.9353945546838948,0.4855072463768116
-4.5500000000000034,0.2185430463576159,0.9358560221504384,0.4888888888888889
-4.6000000000000032,0.2185430463576159,0.936317489616982,0.49624060150375937
-4.650000000000003,0.2152317880794702,0.936317489616982,0.49242424242424243
-4.7000000000000028,0.2052980132450331,0.9367789570835257,0.484375
-4.7500000000000036,0.20198675496688742,0.937471158283341,0.49193548387096775
