Gene_name,Distance1,Distance2,delta distance,logFC,logFC2
yqeK,291,77,-214,-0.757525427027286,1.91465125392545
ygeG,111,119,8,3.81406396451144,0.60123086617335
ygeK,143,142,-1,2.41047661197523,0.183957934704088
ygeO,158,125,-33,-0.390756941183932,-3.21701435537718
ygeO,125,50,-75,-3.21701435537718,0.483558485736105
ygfI,85,54,-31,-0.0951612625023131,2.92645705924561
yqgE,36,44,8,3.52772335728981,0.726254710500328
yghE,61,60,-1,-0.112045416029789,6.4062399326624
yghE,60,10,-50,6.4062399326624,-0.697730829565314
yghX_1,132,122,-10,-0.117525748896462,2.15353462509712
mqsA,63,56,-7,-0.331068287957978,4.97351179782084
mqsA,56,22,-34,4.97351179782084,0.0679787177041424
yqjH,15,14,-1,-0.312957293548367,2.76488524620154
yqjH,14,13,-1,2.76488524620154,0.103195936633078
aer,36,25,-11,0.172242441165737,3.59211273065723
yqjC,61,68,7,1.79583607010713,-0.20535579722428
yhaL,29,33,4,-0.0408335462096336,4.97687789035061
yhaL,33,43,10,4.97687789035061,-0.032072211502628
yhbT,22,21,-1,-0.000141568405410981,5.244683450838
yhbX,168,145,-23,0.570854163466588,-1.61787829552415
obgE,89,73,-16,3.25435534722969,1.09603625902618
ibaG,46,45,-1,1.12220564780443,5.16548916666869
tusD,24,12,-12,-0.354592579422056,2.63540717761916
yheO,21,6,-15,2.83187144351192,6.59522306417717
yzgL,111,90,-21,2.41053849185494,-0.226445566903748
yhhX,45,42,-3,6.22783112122588,-0.0169502239097148
rsgA,86,48,-38,3.38893448421612,1.25194958181956
rsgA,48,37,-11,1.25194958181956,3.45853471502064
rsgA,37,21,-16,3.45853471502064,0.194161067721344
insG,55,34,-21,-0.311993880832382,4.92869479569222
insG,34,33,-1,4.92869479569222,0.348124420442997
yjjP,102,43,-59,-0.292851537209744,-5.72059649391876
yjjP,43,24,-19,-5.72059649391876,0.172526958915732
yjjV,26,32,6,-0.34359272081974,7.31386747039238
ynfO,137,140,3,1.10959655150478,-1.8292259693965
ypeB,44,30,-14,-0.0492865192106364,3.75009494445481
arfA,159,76,-83,0.157324917449027,-2.32858133828318
arfA,76,-13,-89,-2.32858133828318,0.328134289279354
rydC,15,5,-10,4.95696353006542,0.45909934344103
ypaB,86,7,-79,0.629462393499467,6.4073998370617
ytcA,59,48,-11,-0.158213673546475,3.64180102201998
ytcA,48,5,-43,3.64180102201998,-0.0872178144230183
rpsP5',219,69,-150,5.25690340505941,0.0246513018446184
zipA5',29,28,-1,-0.941836673811166,1.08751825103964
ryeF,46,25,-21,0.190868804745738,3.33895331876102
ryeF,25,24,-1,3.33895331876102,0.58276952792191
,1,0,-1,-0.30361709668697,2.41047588816083
,0,-1,-1,2.41047588816083,-0.331514820432086
