Gene_name,Distance1,Distance2,delta distance,logFC,logFC2
pdxJ,80,74,-6,2.68212490344175,0.216941475727954
pepP,37,15,-22,2.6589749870244,0.187432930329679
pgk,96,74,-22,0.139402693552736,2.29621889569369
pgsA,80,52,-28,0.0837627901511675,2.1129627136078
pheT,2337,2271,-66,1.2207249207767,7.29569688954517
pheT,2271,2156,-115,7.29569688954517,3.08404170865794
phnH,30,29,-1,-0.0188724613395842,-2.91625260708056
phnH,29,15,-14,-2.91625260708056,-0.196463266275629
phoU,64,48,-16,-0.156051585150733,1.92245968964662
plsB,55,44,-11,0.938104530571115,3.33495120398516
potE,105,75,-30,-0.233076556079014,3.67178005548969
ppa,67,38,-29,0.169500886087118,8.38036137109418
ppa,38,20,-18,8.38036137109418,3.92350209432131
ppa,20,19,-1,3.92350209432131,1.77675849536779
ppiB,82,62,-20,0.865382316461357,3.33447754756612
prfB,40,17,-23,4.09973051757446,6.86583717053573
prfB,17,0,-17,6.86583717053573,3.25508389870666
proS,27,19,-8,4.85880801812127,1.83552223168309
prs,37,36,-1,7.72476466375336,4.7952629771256
prs,36,33,-3,4.7952629771256,9.7921101991763
prs,33,5,-28,9.7921101991763,5.7736838498435
psd,61,41,-20,0.04638149826065,3.86362903403885
pssA,46,47,1,4.21967257552591,2.18151976083897
pstB,76,23,-53,1.15329099436633,5.97595694941282
pstB,23,22,-1,5.97595694941282,1.82777361134673
queA,13,22,9,-0.0534490479779638,3.55177127662466
rbsK,75,81,6,0.0432594925987609,2.95166410329538
recF,955,13,-942,0.242456739122164,6.31254969173124
recF,13,12,-1,6.31254969173124,3.18800293485512
recF,12,7,-5,3.18800293485512,0.373162276667032
recO,28,-1,-29,0.169937380583067,5.80384534592596
lptE,89,78,-11,0.112076547532853,2.66749766083777
rplB,64,32,-32,8.26108154780618,5.31440480189683
rplC,67,37,-30,7.27634258230434,3.44739565856363
rplC,37,36,-1,3.44739565856363,7.58501038254444
rplD,184,176,-8,9.645431838743,0.405308623737468
rplD,176,88,-88,0.405308623737468,5.0332899881373
rplE,169,105,-64,4.29934093378732,2.05172547077894
rplF,147,39,-108,2.13981862027979,8.06654303204558
rplF,39,35,-4,8.06654303204558,3.62838890879047
rplF,35,23,-12,3.62838890879047,6.79415530043669
rplJ,175,185,10,1.91561579588693,6.65426200232632
rplM,195,79,-116,5.50667624585957,3.20270460499591
rplM,79,23,-56,3.20270460499591,9.24646551606683
rplN,42,33,-9,3.72644115370022,7.5766971158451
rplO,55,36,-19,9.42801796808835,3.88594590623013
rplO,36,27,-9,3.88594590623013,5.92465261394886
rplQ,64,52,-12,6.23837825756173,0.0666194286467473
rplQ,52,46,-6,0.0666194286467473,7.467202482105
rplR,93,55,-38,2.59342758363535,6.72802808077487
rplR,46,37,-9,6.60567659944792,4.20274397215306
rplS,75,65,-10,2.17274451381657,8.45461320667563
rplS,65,61,-4,8.45461320667563,4.51253881197762
rplS,61,53,-8,4.51253881197762,6.8320470901768
rplT,172,142,-30,9.87238721733527,3.08592243073786
rplT,142,105,-37,3.08592243073786,6.77647224769788
rplV,162,67,-95,3.23765960137251,7.66995369395825
rplV,67,55,-12,7.66995369395825,4.88313689424881
rplW,87,81,-6,2.83977886469889,6.38002550168799
rplW,81,41,-40,6.38002550168799,1.70823070949448
rplX,121,93,-28,2.72012713438618,6.67502702239896
rpmC,82,61,-21,5.16012259619456,1.91631678639423
rpmC,61,48,-13,1.91631678639423,8.90946707428826
rpmD,125,30,-95,1.76553816496631,4.90375239465371
rpmD,30,0,-30,4.90375239465371,0.0
rpmE,20,21,1,3.70521559565268,1.02508805611098
rpmG,133,122,-11,5.76119353630044,8.72243120386055
rpmG,122,66,-56,8.72243120386055,4.41401534706408
rpoA,210,171,-39,2.74915463584927,5.14435273569082
rpoA,171,155,-16,5.14435273569082,8.56637309996787
rpoA,155,72,-83,8.56637309996787,4.03703525851121
rpoA,72,-14,-86,4.03703525851121,6.45622379570702
rpoD,43,44,1,2.60473480589248,0.325657985211003
rpsB,56,61,5,4.98192891608772,8.51250678285171
rpsC,63,50,-13,2.39856371870545,8.75518860176859
rpsC,34,20,-14,7.21587225767012,2.36792303167013
rpsD,90,51,-39,5.81352006542664,2.66939764700346
rpsD,51,37,-14,2.66939764700346,6.22576545630182
rpsE,170,72,-98,4.72144154445517,6.98387708401132
rpsE,72,58,-14,6.98387708401132,3.33483253330345
rpsG,47,41,-6,3.94536526180957,1.42213557928572
rpsG,41,5,-36,1.42213557928572,8.88901045765692
rpsJ,87,28,-59,4.63806577695854,7.18063111291542
rpsJ,25,10,-15,8.58397024883028,6.41976200816139
rpsM,29,7,-22,5.80278290418106,2.85922826719529
rpsM,7,6,-1,2.85922826719529,4.98643028947357
rpsN,169,165,-4,8.07363629596129,3.27043834279615
rpsN,155,111,-44,5.22721894722222,8.78468871424607
rpsO,115,112,-3,3.66470193622413,0.945783876032962
rpsO,112,75,-37,0.945783876032962,6.28709593528472
rpsP,122,121,-1,3.32908398153595,1.16210021298687
rpsP,121,44,-77,1.16210021298687,8.0955274757562
rpsQ,126,95,-31,2.73085193170751,6.83867171613197
rpsR,122,123,1,8.26205923994025,3.74604888865302
rpsS,26,5,-21,8.43273068482158,5.7441370687437
rpsT,33,0,-33,2.0709940721482,4.23738709394659
coaA,49,37,-12,1.18801407519144,3.61452707790091
sdiA,145,142,-3,4.68980980963368,-0.348887369347181
secA,91,99,8,1.66975430082406,4.04536861970573
serS,12,13,1,6.54378428209862,9.7969309192539
gmk,36,37,1,6.55099105502854,4.23881750344341
ssb,56,57,1,8.53320621516781,2.59393648429886
suhB,0,9,9,4.22525657850442,0.0
tag,46,50,4,-0.284826010149691,5.18237609548983
thrS,58,31,-27,5.15554967867937,7.47331117465106
thrS,31,20,-11,7.47331117465106,5.22602765052238
thrS,20,5,-15,5.22602765052238,7.50862398461672
tolQ,110,118,8,-0.364920718577725,6.19845442382137
trmA,9,8,-1,7.81267717261861,3.25496858440881
trmA,8,7,-1,3.25496858440881,0.334949797753191
trmD,113,100,-13,1.56501841576016,6.79084112551978
trmD,100,51,-49,6.79084112551978,1.94197952526793
trmD,51,40,-11,1.94197952526793,8.10489332916844
tufA,282,99,-183,5.88658217276346,0.457057445912788
tufA,99,87,-12,0.457057445912788,4.18400301323424
tufA,87,67,-20,4.18400301323424,0.886356512040627
tyrA,165,140,-25,2.41063943583499,-0.205831060788026
tyrS,98,52,-46,0.677541476544383,3.27452051843198
valS,119,94,-25,3.03255314967279,7.10848386305635
xylE,21,9,-12,-0.0796184043784048,3.81405180310851
ribF,35,42,7,0.787867729897373,4.23240268145544
fkpB,70,73,3,1.09232576598854,4.17392044650931
ispH,23,24,1,2.64351897536835,-0.145101050750232
mraZ,61,62,1,6.20953733470457,8.35542852536366
ftsL,56,65,9,7.97749334581545,4.28713425935107
ftsL,117,125,8,5.14742942960253,0.878242333067912
crl,52,62,10,0.300070392216211,4.48275395387943
yccA,88,72,-16,3.07651495054179,0.0954640895257284
rem,46,-12,-58,4.54145131818516,0.205083462699004
yfaA,173,131,-42,-0.191287268296449,1.90119257622656
yfaA,131,113,-18,1.90119257622656,-0.175970623149599
rimM,102,38,-64,1.85208697378137,5.34000651327635
rimM,38,29,-9,5.34000651327635,0.474145446879432
ppdB,127,126,-1,-0.172809514807928,2.54873623803956
ygeA,249,180,-69,3.83226829022141,-0.166081507569277
ygiD,105,74,-31,-0.339425519508787,3.29047499902284
ygiD,74,8,-66,3.29047499902284,-0.187561885549899
tsaD,48,39,-9,1.15961393589128,3.53373177619577
rbfA,67,23,-44,2.03644998007225,4.98642151015759
rimP,102,55,-47,6.86582480534851,3.91352160986963
rimP,54,44,-10,2.75850270981407,8.86086578265264
yiaA,209,138,-71,-3.59355022329733,0.314919128836648
yigB,61,62,1,-0.043952287975582,5.29613764731019
yjjA,42,36,-6,-0.0582965055139453,5.50190451785944
dcuA,126,125,-1,3.17378831460121,0.547374918838967
rpmI,51,18,-33,3.01334917930975,0.0
rpmI,18,5,-13,0.0,7.1535382396291
rpmJ,92,34,-58,6.50069925772766,4.16558479141277
rsfS,102,93,-9,3.41031392252901,-0.0902434119415979
rsfS,93,49,-44,-0.0902434119415979,3.44541192915357
rsfS,49,19,-30,3.44541192915357,0.91076095340116
waaH,38,15,-23,0.770679892758927,3.84376071143425
fmt,116,120,4,2.22020107210984,-0.281883418752668
fabZ,65,66,1,5.43943822016432,0.97591081649824
lolB,12,7,-5,4.37312527382424,2.30025063691383
ispE,54,23,-31,3.27351550277949,0.97703718347672
lipA,99,48,-51,0.683738310522699,5.59031594580784
lipA,48,40,-8,5.59031594580784,1.87703514631454
fabD,26,27,1,5.74908513214819,3.61625216161053
fabG,34,44,10,5.72628561490658,2.20457690726465
fabG,82,83,1,6.94870456530467,0.0333549407732473
ubiH,83,61,-22,2.73929757190254,0.0962559215378909
mdtG,26,25,-1,1.92002248597342,5.50943707190088
mdtG,25,9,-16,5.50943707190088,-0.717409897554524
fliZ,64,37,-27,-0.149767265706085,5.98178386624058
fliZ,37,29,-8,5.98178386624058,-0.274900613302772
murA,133,124,-9,10.0684410711027,2.46990112443956
murA,124,80,-44,2.46990112443956,7.69484163990689
murA,80,37,-43,7.69484163990689,4.25055419976368
ribC,86,56,-30,0.362630137877305,3.27369627379194
glnD,40,14,-26,0.313319408930417,4.30657049178863
glnD,14,10,-4,4.30657049178863,0.72986976164935
holA,83,28,-55,4.93224812109353,7.18186189724069
holA,28,17,-11,7.18186189724069,4.32720503225539
holC,-6,-16,-10,0.584010459774132,2.72296442407688
dcd,61,30,-31,0.900636120918905,3.7872464390199
dcd,30,16,-14,3.7872464390199,0.654144180014234
waaL,215,225,10,-0.562717163950452,4.14423345072663
tktA,79,72,-7,2.69187842089288,0.676125930457719
tktA,72,66,-6,0.676125930457719,4.49479821741805
tktA,66,6,-60,4.49479821741805,1.11535654108974
rffC,46,47,1,0.224912636042753,3.17189015506232
adiA,102,88,-14,0.320552794987841,4.68096030615177
