Gene_name,Distance from atg,logFC,logFC2
dfp,100,0.0362295934142594,2.80204442462844
cydC,93,0.542382041527144,3.27531078764259
mepM,28,0.0136866961634289,2.43057730967844
mepM,27,2.43057730967844,-0.157829318418195
adk,260,6.79872320593532,9.89899522017538
alaS,25,5.23160328465934,8.30536876893461
appY,136,1.32437173180237,4.21888810238693
appY,210,4.21888810238693,-0.624515654951609
